Model,Filter,Class,Precision,Recall,F1-score,Support
resnet50,No Filter,akiec,0.786,0.449,0.571,49
resnet50,No Filter,bcc,0.729,0.827,0.775,75
resnet50,No Filter,bkl,0.62,0.76,0.683,75
resnet50,No Filter,df,0.583,0.389,0.467,18
resnet50,No Filter,mel,0.701,0.72,0.711,75
resnet50,No Filter,nv,0.753,0.773,0.763,75
resnet50,No Filter,vasc,0.941,0.762,0.842,21
resnet50,Average,akiec,0.762,0.653,0.703,49
resnet50,Average,bcc,0.667,0.827,0.738,75
resnet50,Average,bkl,0.684,0.72,0.701,75
resnet50,Average,df,0.846,0.611,0.71,18
resnet50,Average,mel,0.718,0.747,0.732,75
resnet50,Average,nv,0.794,0.72,0.755,75
resnet50,Average,vasc,1.0,0.714,0.833,21
resnet50,Gaussian,akiec,0.679,0.776,0.724,49
resnet50,Gaussian,bcc,0.727,0.853,0.785,75
resnet50,Gaussian,bkl,0.705,0.733,0.719,75
resnet50,Gaussian,df,0.889,0.444,0.593,18
resnet50,Gaussian,mel,0.691,0.747,0.718,75
resnet50,Gaussian,nv,0.833,0.667,0.741,75
resnet50,Gaussian,vasc,1.0,0.762,0.865,21
resnet50,Median,akiec,0.661,0.755,0.705,49
resnet50,Median,bcc,0.725,0.773,0.748,75
resnet50,Median,bkl,0.613,0.76,0.679,75
resnet50,Median,df,0.867,0.722,0.788,18
resnet50,Median,mel,0.846,0.587,0.693,75
resnet50,Median,nv,0.822,0.8,0.811,75
resnet50,Median,vasc,0.842,0.762,0.8,21
resnet50,Sharpening,akiec,0.786,0.449,0.571,49
resnet50,Sharpening,bcc,0.838,0.893,0.865,75
resnet50,Sharpening,bkl,0.594,0.76,0.667,75
resnet50,Sharpening,df,0.778,0.389,0.519,18
resnet50,Sharpening,mel,0.686,0.64,0.662,75
resnet50,Sharpening,nv,0.739,0.867,0.798,75
resnet50,Sharpening,vasc,0.941,0.762,0.842,21
resnet50,Sobel,akiec,0.36,0.184,0.243,49
resnet50,Sobel,bcc,0.676,0.613,0.643,75
resnet50,Sobel,bkl,0.318,0.667,0.431,75
resnet50,Sobel,df,0.239,0.611,0.344,18
resnet50,Sobel,mel,0.781,0.333,0.467,75
resnet50,Sobel,nv,0.7,0.467,0.56,75
resnet50,Sobel,vasc,0.9,0.429,0.581,21
vgg16,No Filter,akiec,0.593,0.714,0.648,49
vgg16,No Filter,bcc,0.738,0.787,0.761,75
vgg16,No Filter,bkl,0.647,0.733,0.688,75
vgg16,No Filter,df,0.688,0.611,0.647,18
vgg16,No Filter,mel,0.672,0.6,0.634,75
vgg16,No Filter,nv,0.836,0.68,0.75,75
vgg16,No Filter,vasc,1.0,0.952,0.976,21
vgg16,Average,akiec,0.929,0.265,0.413,49
vgg16,Average,bcc,0.696,0.853,0.766,75
