Model,Filter,Accuracy (%),Precision (%),Recall (%),F1-score (%),Macro-F1 (%),Balanced Accuracy (%),AUC (%)
resnet50,No Filter,71.13,71.91,71.13,70.6,68.74,66.85,94.06
resnet50,Average,73.2,74.29,73.2,73.26,73.9,71.31,94.07
resnet50,Gaussian,73.97,75.27,73.97,73.84,73.49,71.17,94.36
resnet50,Median,73.45,75.03,73.45,73.54,74.62,73.7,94.13
resnet50,Sharpening,72.68,73.82,72.68,71.99,70.33,68.0,94.17
resnet50,Sobel,47.68,58.39,47.68,48.43,46.7,47.19,82.9
vgg16,No Filter,71.13,72.0,71.13,71.22,72.91,72.54,93.75
vgg16,Average,63.14,66.19,63.14,61.43,60.2,59.81,90.94
vgg16,Gaussian,67.27,69.44,67.27,67.22,65.95,62.92,92.36
vgg16,Median,68.56,69.17,68.56,68.54,67.53,65.77,92.45
vgg16,Sharpening,68.3,71.22,68.3,67.3,67.96,69.44,92.27
vgg16,Sobel,46.39,47.59,46.39,44.75,37.09,37.07,81.21
resnet101,No Filter,68.56,71.4,68.56,68.48,69.69,67.44,93.59
resnet101,Average,72.16,74.75,72.16,72.61,73.96,72.93,94.15
resnet101,Gaussian,74.23,74.73,74.23,73.87,73.7,72.11,94.85
resnet101,Median,74.48,75.75,74.48,74.61,76.18,74.43,94.43
resnet101,Sharpening,74.74,75.1,74.74,74.49,74.14,73.22,94.71
resnet101,Sobel,51.29,53.23,51.29,50.99,48.93,47.44,83.67
