Model,Representation,Validation F1,Accuracy,Precision,Recall,F1,Training Time (s),Inference Time (ms/image)
SVM,Raw,0.29354357473753,0.42010309278350516,0.39067670837344143,0.40070983844502656,0.3909863071106234,1.7874796589999278,1.4026214381449311
Random Forest,Raw,0.3114049625144127,0.41494845360824745,0.3883679038811806,0.34451262012893047,0.3429888298829228,3.451328490999913,0.11537357732008457
KNN,Raw,0.2425527219096821,0.3479381443298969,0.302507432955098,0.28956502068736034,0.2827627469482809,0.024450729999898613,0.14392056958705635
SVM,Filtered,0.2892914676468909,0.41494845360824745,0.3869782178605709,0.3969967582762501,0.38691231103964985,1.9766638989999592,1.391215559277784
Random Forest,Filtered,0.3276362443848879,0.4072164948453608,0.3910765293800204,0.33822639135170535,0.33765488337635985,3.385418333999951,0.11313044587575521
KNN,Filtered,0.2408006944613207,0.3479381443298969,0.3023525404612693,0.2894163917889482,0.2817001838740969,0.019095585999821196,0.10303871391728929
SVM,Edge,0.18694219510340607,0.21391752577319587,0.20056322490930137,0.18491613494960765,0.16529355366775675,2.257828258000245,1.3275479097944403
Random Forest,Edge,0.21739074770862385,0.25257731958762886,0.20544303908749734,0.2167007569953097,0.19183463893775882,1.513503669000329,0.156089414948622
KNN,Edge,0.11972440989778399,0.15206185567010308,0.15335411311346062,0.1424126582437082,0.1132189651927066,0.028694031999748404,0.1690757371140544
CNN Model 1,Raw,0.37971383656365854,0.43556701030927836,0.4940979137481767,0.4297963715199474,0.4368098970596956,31.379944471999806,1.6395352010310498
CNN Model 1,Filtered,0.38008835459170204,0.4329896907216495,0.48026329654118705,0.4077210304964711,0.42073150156636757,31.823863233999873,1.6855816804130994
CNN Model 1,Edge,0.11867542249836013,0.25,0.1388202887537994,0.19344531391788305,0.13636210103794158,29.30960733899974,2.1180441134013743
CNN Model 2,Raw,0.465825320312336,0.5695876288659794,0.5898611776223002,0.6085650787848643,0.5750030432049724,45.33311680199995,9.45351021907309
CNN Model 2,Filtered,0.4854141099878729,0.5695876288659794,0.5848915591290258,0.5909173680123787,0.5647458284996052,41.08430104399986,9.481643835051353
CNN Model 2,Edge,0.18252876698293102,0.21649484536082475,0.31361844782695886,0.2481569538811586,0.20723891540102501,36.29370146000019,9.493773077320538
